,ABUNDANCE,GENUS_SPECIES,PLOT,YEAR
1760,3,Ctenolabrus rupestris,4,2004
1761,3,Ctenolabrus rupestris,4,2006
1762,3,Ctenolabrus rupestris,4,2008
1771,1,Labrus bergylta,4,2002
1772,1,Labrus bergylta,4,2003
1773,1,Labrus bergylta,4,2008
1778,2,Labrus bergylta,4,2006
1782,1,Cyanea capillata,4,1996
1783,1,Cyanea capillata,4,2000
1787,4,Cyanea capillata,4,2002
1788,4,Cyanea capillata,4,2006
1790,7,Cyanea capillata,4,1995
1791,9,Cyanea capillata,4,1998
1792,10,Cyanea capillata,4,2008
1793,2,Sprattus sprattus,4,2005
1799,1,Pagurus prideaux,4,1995
1800,1,Pagurus prideaux,4,1996
1801,1,Pagurus prideaux,4,2000
1804,1,Callionymus lyra,4,2007
1808,1,Centrolabrus exoletus,4,1996
1809,1,Centrolabrus exoletus,4,2002
1810,1,Centrolabrus exoletus,4,2008
1813,3,Centrolabrus exoletus,4,2003
1814,4,Centrolabrus exoletus,4,2006
1819,1,Symphodus melops,4,2001
1820,1,Symphodus melops,4,2002
1821,1,Symphodus melops,4,2005
1824,2,Symphodus melops,4,1996
1828,3,Symphodus melops,4,1995
1829,3,Symphodus melops,4,1997
1830,3,Symphodus melops,4,2004
1834,4,Symphodus melops,4,1999
1835,4,Symphodus melops,4,2008
1839,5,Symphodus melops,4,2003
1840,5,Symphodus melops,4,2006
1843,1,Merlangius merlangus,4,1997
1844,1,Merlangius merlangus,4,2000
1845,1,Merlangius merlangus,4,2005
1846,1,Merlangius merlangus,4,2006
1847,1,Merlangius merlangus,4,2007
1850,3,Merlangius merlangus,4,1996
1851,3,Merlangius merlangus,4,2008
1852,4,Merlangius merlangus,4,2001
1855,5,Merlangius merlangus,4,1995
1858,6,Merlangius merlangus,4,2004
1865,1,Eutrigla gurnardus,4,2001
1866,2,Echinoidea,4,1997
1867,2,Echinoidea,4,2003
1872,3,Crystallogobius linearis,4,2000
1876,1,Pollachius pollachius,4,2007
1877,1,Pollachius pollachius,4,2008
1884,3,Scomber scombrus,4,2006
1886,2,Manetyngel unknown,4,2002
1887,2,Manetyngel unknown,4,2007
1889,1,Psetta maxima,4,2001
1898,3,Pomatoschistus minutus,4,1995
1899,3,Pomatoschistus minutus,4,1996
1900,3,Pomatoschistus minutus,4,1997
1901,3,Pomatoschistus minutus,4,1998
1902,3,Pomatoschistus minutus,4,1999
1903,3,Pomatoschistus minutus,4,2000
1904,3,Pomatoschistus minutus,4,2001
1905,3,Pomatoschistus minutus,4,2002
1906,3,Pomatoschistus minutus,4,2003
1907,3,Pomatoschistus minutus,4,2004
1908,3,Pomatoschistus minutus,4,2005
1909,3,Pomatoschistus minutus,4,2006
1910,3,Pomatoschistus minutus,4,2007
1911,3,Pomatoschistus minutus,4,2008
1923,10,Pollachius virens,4,1995
1925,1,Salmo trutta,4,1995
1927,2,Salmo trutta,4,1998
1928,2,Salmo trutta,4,1999
1929,3,Salmo trutta,4,2007
1930,3,Spatangoida,4,2000
1931,3,Spatangoida,4,2007
1934,2,Polioptila caerulea,4,2000
1936,3,Polioptila caerulea,4,2002
1937,3,Polioptila caerulea,4,2003
1939,4,Polioptila caerulea,4,2006
1940,1,Asteroidea,4,2002
1942,2,Asteroidea,4,1995
1946,3,Asteroidea,4,2000
1948,1,Platichthys flesus,4,1995
1949,1,Platichthys flesus,4,1996
1950,1,Platichthys flesus,4,1997
1951,1,Platichthys flesus,4,2001
1952,1,Platichthys flesus,4,2007
1957,3,Platichthys flesus,4,1998
1961,3,Ophiuroidea,4,1999
1964,1,Scophthalmus rhombus,4,1999
1967,1,Carcinus maenas,4,2005
1969,2,Carcinus maenas,4,1997
1972,3,Carcinus maenas,4,1995
1973,3,Carcinus maenas,4,2002
1974,3,Carcinus maenas,4,2003
1979,2,Palaemon adspersus,4,1995
1980,2,Palaemon adspersus,4,1996
1981,2,Palaemon adspersus,4,1997
1982,2,Palaemon adspersus,4,1998
1983,2,Palaemon adspersus,4,1999
1984,2,Palaemon adspersus,4,2001
1985,2,Palaemon adspersus,4,2002
1986,2,Palaemon adspersus,4,2004
1987,2,Palaemon adspersus,4,2005
1993,3,Palaemon adspersus,4,2003
1995,2,Littorina littorea,4,2002
2000,1,Trisopterus minutus,4,2004
2006,1,Trachurus trachurus,4,2005
2008,2,Trachurus trachurus,4,1998
2009,2,Trachurus trachurus,4,2003
2010,2,Trachurus trachurus,4,2008
2011,3,Trachurus trachurus,4,2004
2012,2,Gobiusculus flavescens,4,1998
2016,3,Gobiusculus flavescens,4,1996
2017,3,Gobiusculus flavescens,4,1997
2018,3,Gobiusculus flavescens,4,1999
2019,3,Gobiusculus flavescens,4,2001
2020,3,Gobiusculus flavescens,4,2003
2021,3,Gobiusculus flavescens,4,2004
2022,3,Gobiusculus flavescens,4,2007
2028,4,Gobiusculus flavescens,4,2005
2029,4,Gobiusculus flavescens,4,2006
2030,4,Gobiusculus flavescens,4,2008
2041,1,Pholis gunnellus,4,1995
2042,1,Pholis gunnellus,4,1996
2043,1,Pholis gunnellus,4,2002
2046,1,Spinachia spinachia,4,1996
2047,1,Spinachia spinachia,4,1998
2048,1,Spinachia spinachia,4,2001
2049,1,Spinachia spinachia,4,2006
2052,2,Spinachia spinachia,4,2003
2053,2,Spinachia spinachia,4,2004
2054,2,Spinachia spinachia,4,2005
2060,1,Gadus morhua,4,2000
2061,1,Gadus morhua,4,2003
2062,1,Gadus morhua,4,2006
2063,1,Gadus morhua,4,2008
2064,2,Gadus morhua,4,1996
2065,2,Gadus morhua,4,1998
2066,2,Gadus morhua,4,2001
2067,3,Gadus morhua,4,2007
2078,1,Scorpaenidae,4,1996
2079,1,Scorpaenidae,4,1997
2080,1,Scorpaenidae,4,2003
2081,1,Scorpaenidae,4,2008
2088,1,Zoarces viviparus,5,1996
2089,1,Zoarces viviparus,5,2001
2090,1,Zoarces viviparus,5,2002
2091,1,Zoarces viviparus,5,2008
2095,3,Zoarces viviparus,5,2003
2104,3,Ctenolabrus rupestris,5,1995
2105,3,Ctenolabrus rupestris,5,1996
2106,3,Ctenolabrus rupestris,5,1997
2107,3,Ctenolabrus rupestris,5,1998
2108,3,Ctenolabrus rupestris,5,1999
2109,3,Ctenolabrus rupestris,5,2000
2110,3,Ctenolabrus rupestris,5,2001
2111,3,Ctenolabrus rupestris,5,2002
2112,3,Ctenolabrus rupestris,5,2003
2113,3,Ctenolabrus rupestris,5,2004
2114,3,Ctenolabrus rupestris,5,2005
2115,3,Ctenolabrus rupestris,5,2006
2116,3,Ctenolabrus rupestris,5,2007
2117,3,Ctenolabrus rupestris,5,2008
2127,1,Labrus bergylta,5,2001
2128,1,Labrus bergylta,5,2004
2129,2,Labrus bergylta,5,1995
2130,2,Labrus bergylta,5,1998
2131,2,Labrus bergylta,5,2000
2133,3,Labrus bergylta,5,1999
2134,3,Labrus bergylta,5,2002
2136,4,Labrus bergylta,5,1997
2137,4,Labrus bergylta,5,2005
2138,4,Labrus bergylta,5,2008
2143,11,Labrus bergylta,5,2006
2144,14,Labrus bergylta,5,2003
2146,1,Cyanea capillata,5,1995
2147,1,Cyanea capillata,5,1999
2151,2,Cyanea capillata,5,1996
2152,2,Cyanea capillata,5,2008
2154,6,Cyanea capillata,5,1997
2155,6,Cyanea capillata,5,1998
2156,7,Cyanea capillata,5,2000
2158,1,Pagurus prideaux,5,1996
2163,1,Centrolabrus exoletus,5,1997
2164,1,Centrolabrus exoletus,5,1999
2166,3,Centrolabrus exoletus,5,2004
2167,4,Centrolabrus exoletus,5,2003
2168,4,Centrolabrus exoletus,5,2008
2169,5,Centrolabrus exoletus,5,1996
2170,5,Centrolabrus exoletus,5,1998
2171,5,Centrolabrus exoletus,5,2005
2172,5,Centrolabrus exoletus,5,2007
2177,1,Symphodus melops,5,1995
2178,1,Symphodus melops,5,1996
2179,1,Symphodus melops,5,1998
2185,3,Symphodus melops,5,2000
2186,3,Symphodus melops,5,2002
2187,3,Symphodus melops,5,2004
2188,3,Symphodus melops,5,2005
2189,3,Symphodus melops,5,2007
2190,4,Symphodus melops,5,2001
2194,5,Symphodus melops,5,1997
2195,5,Symphodus melops,5,1999
2196,5,Symphodus melops,5,2003
2197,5,Symphodus melops,5,2006
2198,5,Symphodus melops,5,2008
2201,1,Entelurus aequoreus,5,2004
2203,1,Merlangius merlangus,5,2005
2204,1,Merlangius merlangus,5,2008
2206,2,Merlangius merlangus,5,1995
2207,2,Merlangius merlangus,5,2006
2209,3,Merlangius merlangus,5,1998
2211,4,Merlangius merlangus,5,1996
2212,4,Merlangius merlangus,5,1999
2213,4,Merlangius merlangus,5,2002
2214,9,Merlangius merlangus,5,2007
2216,13,Merlangius merlangus,5,1997
2217,13,Merlangius merlangus,5,2004
2218,18,Merlangius merlangus,5,2000
2219,23,Merlangius merlangus,5,2001
2230,2,Pollachius pollachius,5,2003
2232,3,Pollachius pollachius,5,1995
2233,3,Pollachius pollachius,5,1996
2234,3,Pollachius pollachius,5,1997
2235,3,Pollachius pollachius,5,2005
2238,5,Pollachius pollachius,5,2000
2240,6,Pollachius pollachius,5,2008
2242,7,Pollachius pollachius,5,2006
2243,14,Pollachius pollachius,5,1998
2245,16,Pollachius pollachius,5,2001
2246,17,Pollachius pollachius,5,1999
2247,22,Pollachius pollachius,5,2004
2250,2,Manetyngel unknown,5,2008
2262,3,Pomatoschistus minutus,5,1995
2263,3,Pomatoschistus minutus,5,1996
2264,3,Pomatoschistus minutus,5,1997
2265,3,Pomatoschistus minutus,5,1998
2266,3,Pomatoschistus minutus,5,1999
2267,3,Pomatoschistus minutus,5,2000
2268,3,Pomatoschistus minutus,5,2001
2269,3,Pomatoschistus minutus,5,2002
2270,3,Pomatoschistus minutus,5,2003
2271,3,Pomatoschistus minutus,5,2004
2272,3,Pomatoschistus minutus,5,2005
2273,3,Pomatoschistus minutus,5,2006
2274,3,Pomatoschistus minutus,5,2007
2275,3,Pomatoschistus minutus,5,2008
2283,1,Pollachius virens,5,1997
2284,1,Pollachius virens,5,2001
2285,1,Pollachius virens,5,2008
2286,2,Pollachius virens,5,1995
2289,9,Pollachius virens,5,2000
2291,1,Salmo trutta,5,1996
2292,1,Salmo trutta,5,2007
2299,4,Asteroidea,5,1995
2304,1,Platichthys flesus,5,1997
2306,2,Gasterosteidae,5,2006
2309,1,Carcinus maenas,5,1999
2318,2,Palaemon adspersus,5,2001
2319,2,Palaemon adspersus,5,2002
2320,2,Palaemon adspersus,5,2003
2321,2,Palaemon adspersus,5,2005
2322,2,Palaemon adspersus,5,2007
2327,3,Palaemon adspersus,5,1995
2328,3,Palaemon adspersus,5,1996
2329,3,Palaemon adspersus,5,2000
2330,2,Littorina littorea,5,2002
2337,1,Trisopterus minutus,5,2001
2339,1,Trachurus trachurus,5,2000
2342,2,Trachurus trachurus,5,1999
2343,2,Trachurus trachurus,5,2006
2344,2,Trachurus trachurus,5,2008
2346,3,Trachurus trachurus,5,2002
2349,4,Trachurus trachurus,5,2001
2350,4,Trachurus trachurus,5,2003
2351,2,Gobiusculus flavescens,5,1998
2354,3,Gobiusculus flavescens,5,1995
2355,3,Gobiusculus flavescens,5,2004
2359,4,Gobiusculus flavescens,5,1996
2360,4,Gobiusculus flavescens,5,1999
2361,4,Gobiusculus flavescens,5,2003
2362,4,Gobiusculus flavescens,5,2007
2363,4,Gobiusculus flavescens,5,2008
2370,5,Gobiusculus flavescens,5,1997
2371,5,Gobiusculus flavescens,5,2001
2372,5,Gobiusculus flavescens,5,2005
2373,5,Gobiusculus flavescens,5,2006
2375,1,Sygnathus typhle,5,1996
2376,1,Sygnathus typhle,5,1998
2377,1,Sygnathus typhle,5,2000
2382,3,Sygnathus typhle,5,2004
2384,2,Pholis gunnellus,5,1996
2387,1,Spinachia spinachia,5,1997
2390,2,Spinachia spinachia,5,1995
2391,2,Spinachia spinachia,5,2000
2392,2,Spinachia spinachia,5,2002
2393,2,Spinachia spinachia,5,2004
2394,2,Spinachia spinachia,5,2006
2395,2,Spinachia spinachia,5,2008
2400,3,Spinachia spinachia,5,1998
2401,3,Spinachia spinachia,5,2003
2402,3,Spinachia spinachia,5,2005
2404,4,Spinachia spinachia,5,2001
2407,5,Spinachia spinachia,5,1996
2408,5,Spinachia spinachia,5,1999
2409,5,Spinachia spinachia,5,2007
2413,2,Gadus morhua,5,2002
2414,3,Gadus morhua,5,2004
2415,4,Gadus morhua,5,2006
2418,6,Gadus morhua,5,2003
2422,12,Gadus morhua,5,2005
2426,23,Gadus morhua,5,1995
2427,24,Gadus morhua,5,2001
2428,27,Gadus morhua,5,2007
2430,33,Gadus morhua,5,2000
2432,40,Gadus morhua,5,1998
2433,37,Gadus morhua,5,1999
2434,38,Gadus morhua,5,1996
2435,40,Gadus morhua,5,1997
2437,1,Gadus morhua,5,2008
2438,1,Scorpaenidae,5,2003
2439,1,Scorpaenidae,5,2004
2445,3,Scorpaenidae,5,1996
2446,3,Scorpaenidae,5,1997
2447,3,Scorpaenidae,5,1998
2448,3,Scorpaenidae,5,2001
2449,3,Scorpaenidae,5,2002
2581,1,Zoarces viviparus,12,1995
2632,3,Ctenolabrus rupestris,12,1995
2633,3,Ctenolabrus rupestris,12,1996
2634,3,Ctenolabrus rupestris,12,1997
2635,3,Ctenolabrus rupestris,12,1999
2636,3,Ctenolabrus rupestris,12,2003
2637,3,Ctenolabrus rupestris,12,2004
2638,3,Ctenolabrus rupestris,12,2005
2639,3,Ctenolabrus rupestris,12,2006
2640,3,Ctenolabrus rupestris,12,2007
2641,3,Ctenolabrus rupestris,12,2008
2649,1,Labrus bergylta,12,1998
2650,1,Labrus bergylta,12,2003
2651,2,Labrus bergylta,12,1996
2669,1,Cyanea capillata,12,1996
2670,1,Cyanea capillata,12,2002
2677,2,Cyanea capillata,12,1998
2678,2,Cyanea capillata,12,2001
2682,3,Cyanea capillata,12,2007
2686,4,Cyanea capillata,12,1997
2687,4,Cyanea capillata,12,2000
2691,5,Cyanea capillata,12,2008
2710,1,Sprattus sprattus,12,1996
2711,1,Sprattus sprattus,12,1999
2727,1,Callionymus lyra,12,2000
2728,1,Callionymus lyra,12,2004
2730,6,Callionymus lyra,12,2002
2748,1,Symphodus melops,12,2001
2749,1,Symphodus melops,12,2003
2750,1,Symphodus melops,12,2004
2751,1,Symphodus melops,12,2006
2753,2,Symphodus melops,12,1995
2754,2,Symphodus melops,12,2008
2758,3,Symphodus melops,12,1997
2759,3,Symphodus melops,12,2005
2778,4,Merlangius merlangus,12,2007
2783,5,Merlangius merlangus,12,1996
2785,6,Merlangius merlangus,12,2000
2788,7,Merlangius merlangus,12,1998
2796,11,Merlangius merlangus,12,1997
2797,11,Merlangius merlangus,12,2008
2798,12,Merlangius merlangus,12,1999
2802,15,Merlangius merlangus,12,2003
2807,19,Merlangius merlangus,12,2001
2808,19,Merlangius merlangus,12,2005
2813,28,Merlangius merlangus,12,1995
2815,32,Merlangius merlangus,12,2006
2842,137,Merlangius merlangus,12,2004
2855,1,Eutrigla gurnardus,12,1998
2856,1,Eutrigla gurnardus,12,2000
2860,2,Crystallogobius linearis,12,2000
2866,4,Crystallogobius linearis,12,2005
2867,4,Crystallogobius linearis,12,2006
2868,4,Crystallogobius linearis,12,2007
2901,1,Pollachius pollachius,12,1995
2903,1,Scomber scombrus,12,1997
2905,2,Manetyngel unknown,12,2002
2910,3,Manetyngel unknown,12,2006
2913,4,Manetyngel unknown,12,2008
2914,5,Manetyngel unknown,12,2007
2976,3,Pomatoschistus minutus,12,1995
2977,3,Pomatoschistus minutus,12,1996
2978,3,Pomatoschistus minutus,12,1997
2979,3,Pomatoschistus minutus,12,1998
2980,3,Pomatoschistus minutus,12,1999
2981,3,Pomatoschistus minutus,12,2000
2982,3,Pomatoschistus minutus,12,2001
2983,3,Pomatoschistus minutus,12,2002
2984,3,Pomatoschistus minutus,12,2003
2985,3,Pomatoschistus minutus,12,2004
2986,3,Pomatoschistus minutus,12,2005
2987,3,Pomatoschistus minutus,12,2006
2988,3,Pomatoschistus minutus,12,2007
2989,3,Pomatoschistus minutus,12,2008
3003,4,Pollachius virens,12,1995
3005,1,Pollachius virens,12,2001
3015,1,Salmo trutta,12,1997
3016,1,Salmo trutta,12,1999
3017,1,Salmo trutta,12,2003
3021,2,Salmo trutta,12,1998
3022,2,Salmo trutta,12,2000
3024,3,Salmo trutta,12,2007
3026,4,Salmo trutta,12,1996
3028,6,Salmo trutta,12,2002
3031,2,Polioptila caerulea,12,2000
3042,3,Polioptila caerulea,12,2003
3043,3,Polioptila caerulea,12,2006
3044,3,Polioptila caerulea,12,2008
3046,2,Asteroidea,12,1995
3047,2,Asteroidea,12,2008
3055,3,Asteroidea,12,2002
3068,1,Platichthys flesus,12,1997
3069,1,Platichthys flesus,12,2000
3070,1,Platichthys flesus,12,2002
3071,1,Platichthys flesus,12,2007
3072,1,Platichthys flesus,12,2008
3083,2,Platichthys flesus,12,2006
3096,3,Platichthys flesus,12,1999
3097,3,Platichthys flesus,12,2001
3098,3,Platichthys flesus,12,2003
3099,3,Platichthys flesus,12,2005
3103,4,Platichthys flesus,12,1995
3109,1,Gasterosteidae,12,2003
3110,1,Gasterosteidae,12,2007
3115,2,Gasterosteidae,12,1995
3116,2,Gasterosteidae,12,1997
3117,2,Gasterosteidae,12,2001
3118,2,Gasterosteidae,12,2005
3119,2,Gasterosteidae,12,2006
3154,2,Palaemon adspersus,12,1996
3155,2,Palaemon adspersus,12,1997
3156,2,Palaemon adspersus,12,2006
3163,3,Palaemon adspersus,12,1995
3175,2,Trisopterus minutus,12,2008
3182,3,Trisopterus minutus,12,2004
3185,4,Trisopterus minutus,12,2001
3195,2,Trachurus trachurus,12,2008
3199,4,Trachurus trachurus,12,2003
3200,4,Trachurus trachurus,12,2004
3201,5,Trachurus trachurus,12,1999
3202,5,Trachurus trachurus,12,2001
3212,2,Gobiusculus flavescens,12,2002
3213,2,Gobiusculus flavescens,12,2005
3214,2,Gobiusculus flavescens,12,2008
3233,4,Gobiusculus flavescens,12,2003
3244,1,Sygnathus typhle,12,1995
3245,1,Sygnathus typhle,12,1998
3246,1,Sygnathus typhle,12,1999
3247,1,Sygnathus typhle,12,2001
3248,1,Sygnathus typhle,12,2003
3249,1,Sygnathus typhle,12,2007
3273,3,Sygnathus typhle,12,1997
3274,3,Sygnathus typhle,12,2006
3284,2,Spinachia spinachia,12,2008
3302,2,Gadus morhua,12,2006
3305,3,Gadus morhua,12,2003
